,phrases,English,frequency
931,tão relógi,so watch,3
932,tão sim,so yes,3
933,tão tem,so you have,4
934,tão thousand,so thousand,6
935,tão thousand and,so thousand and,5
936,tão unidad,so united,13
937,tão unidad produt,So unidad Produt,3
938,tão vez,then,3
939,um códig,a code,3
940,um códig vem,A codig comes,3
941,um códig vem outr,one code in another,3
942,um produt,a product,8
943,uma empr,a company,3
944,uma pos,a pos,6
945,uma respost,an answer,5
946,uma répl,a repl,3
947,uma seman,seman,5
948,uma soluç,a solution,4
949,unidad aguard,Unidad Aguard,3
950,unidad produt,Unidad Produt,7
951,unidad receb,UNIDAD,4
952,unidad receb apen,UNIDAD RECE APEN,3
953,unidad sra,miserable,3
954,vai fic,Go fic,4
955,vai ser,will be,5
956,val cart,Val Cart,3
957,val compr,Val Congo,3
958,val pag,Val Pag,13
959,val preç,Val Press,3
960,val produt,Val Produt,4
961,vei apen,vei apen,9
962,vei av,vei av,3
963,vei caix,vei box,5
964,vei conform,vei,4
965,vei cor,vei color,8
966,vei cor err,Vei color err,4
967,vei corret,Vei Corret,3
968,vei defeit,vei defit,18
969,vei defeit func,Vei Defit Func,3
970,vei difer,vei differ,7
971,vei err,vei err,17
972,vei falt,vei falt,16
973,vei one,vei one,9
974,vei outr,vei outr,13
975,vei pag,vei pag,3
976,vei produt,Vei Produt,5
977,vei quant,vei quant,3
978,vei quebr,vei quebr,13
979,vei santific,vei santific,4
980,vei soment,vei,6
981,vei total,total,5
982,vei total err,Vei Total Err,3
983,vei um,I saw a,5
984,vem outr,Come out,3
985,vem outr total,Come on Total,3
986,vem outr total difer,Come Out Total Defer,3
987,venc praz,Sunday,3
988,vend produt,sale product,10
989,vend produt fals,Vend Produt,3
990,vend produt não,Vend Produt No,3
991,vez compr,bulk,6
992,vez não,no,5
993,vez receb,time,7
994,vit lannist,Vit Lannist,16
995,vit st,vit st,4
996,vo mand,mand,4
997,vou receb,I'll receive,4
998,vou ter,I will have,4
999,zer real,zer,4
