,phrases,frequency
2379,deceptiv want,1
2380,decid tim,1
2381,decided forward,1
2382,decided stay,1
2383,decim quality,1
2384,deck big,1
2385,declared running,1
2386,decorativ plat,1
2387,decreasing quality,1
2388,dedication the,1
2389,deeply disappointed,1
2390,default information,1
2391,defect an,1
2392,defect anoth,1
2393,defect canist,1
2394,defect do,1
2395,defect it,1
2396,defect loos,1
2397,defect lost,1
2398,defect me,1
2399,defect much,1
2400,defect not,1
2401,defect reasom,1
2402,defect requested,2
2403,defect sent,1
2404,defect the,1
2405,defect touchscreen,1
2406,defect wa,1
2407,defect well,1
2408,defect work,1
2409,defectiv cam,1
2410,defectiv damaged,1
2411,defectiv film,1
2412,defectiv fused,1
2413,defectiv hav,1
2414,defectiv loos,1
2415,defectiv not,3
2416,defectiv one,1
2417,defectiv only,1
2418,defectiv pendant,1
2419,defectiv product,8
2420,defectiv television,1
2421,defectiv the,1
2422,defectiv want,1
2423,degre lens,1
2424,degre requested,1
2425,delay carri,1
2426,delay deliv,2
2427,delay delivery,11
2428,delay did,2
2429,delay my,1
2430,delay nev,1
2431,delay occurred,1
2432,delay outsid,1
2433,delay product,1
2434,delay return,1
2435,delay returning,1
2436,delay send,1
2437,delay the,2
2438,delay total,1
2439,delay waiting,1
2440,delay you,1
2441,delayed delivery,1
2442,deliv anoth,2
2443,deliv any,1
2444,deliv at,1
2445,deliv bought,1
2446,deliv cha,1
2447,deliv correct,1
2448,deliv eight,1
2449,deliv even,1
2450,deliv is,1
2451,deliv mayb,1
2452,deliv merchandis,2
2453,deliv my,2
2454,deliv one,1
2455,deliv only,1
2456,deliv oth,1
2457,deliv pleas,1
2458,deliv predicted,1
2459,deliv product,14
2460,deliv refund,1
2461,deliv request,4
2462,deliv residenc,1
2463,deliv second,1
2464,deliv sell,1
2465,deliv small,2
2466,deliv st,1
2467,deliv the,3
2468,deliv two,1
2469,deliv will,1
2470,deliv without,1
2471,deliv your,1
2472,delivered absurd,1
2473,delivered according,1
2474,delivered actually,1
2475,delivered addition,1
2476,delivered all,1
2477,delivered alleging,1
2478,delivered already,1
2479,delivered although,1
2480,delivered alway,1
2481,delivered am,1
2482,delivered anoth,3
2483,delivered anticipated,1
2484,delivered anyway,2
2485,delivered appe,1
2486,delivered asp,1
2487,delivered at,1
2488,delivered await,1
2489,delivered board,1
2490,delivered box,1
2491,delivered broken,2
2492,delivered cabl,1
2493,delivered cam,1
2494,delivered can,1
2495,delivered cascad,1
2496,delivered clock,1
2497,delivered coffe,1
2498,delivered combined,1
2499,delivered company,1
2500,delivered could,1
2501,delivered counting,1
2502,delivered cov,2
2503,delivered dat,1
2504,delivered day,1
2505,delivered deadlin,3
2506,delivered decided,1
2507,delivered did,1
2508,delivered diff,1
2509,delivered different,2
2510,delivered driv,1
2511,delivered eight,2
2512,delivered even,1
2513,delivered everything,1
2514,delivered fact,1
2515,delivered far,4
2516,delivered feminin,1
2517,delivered first,1
2518,delivered fiv,3
2519,delivered funk,1
2520,delivered good,1
2521,delivered ha,1
2522,delivered had,1
2523,delivered half,1
2524,delivered hop,1
2525,delivered howev,3
2526,delivered if,1
2527,delivered is,1
2528,delivered it,1
2529,delivered just,1
2530,delivered lat,1
2531,delivered lot,1
2532,delivered low,1
2533,delivered mail,1
2534,delivered market,1
2535,delivered mater,1
2536,delivered may,1
2537,delivered me,1
2538,delivered merchandis,1
2539,delivered misleading,1
2540,delivered missing,1
2541,delivered my,3
2542,delivered nineteen,2
2543,delivered no,2
2544,delivered not,9
2545,delivered nothing,2
2546,delivered one,19
2547,delivered only,1
2548,delivered ord,1
2549,delivered pictur,1
2550,delivered pillow,1
2551,delivered pink,1
2552,delivered poorly,1
2553,delivered product,7
2554,delivered purpl,1
2555,delivered received,2
2556,delivered receiving,1
2557,delivered request,1
2558,delivered requested,1
2559,delivered returned,1
2560,delivered sal,1
2561,delivered screw,1
2562,delivered servant,1
2563,delivered shall,1
2564,delivered short,1
2565,delivered shortly,1
2566,delivered simpl,1
2567,delivered six,1
2568,delivered sixteen,1
2569,delivered so,1
2570,delivered still,2
2571,delivered targaryen,2
2572,delivered the,16
2573,delivered they,1
2574,delivered thil,1
2575,delivered tim,1
2576,delivered to,2
2577,delivered togeth,1
2578,delivered totally,1
2579,delivered try,1
2580,delivered trying,1
2581,delivered twenty,3
2582,delivered two,5
2583,delivered unfortunat,1
2584,delivered until,2
2585,delivered wa,2
2586,delivered waiting,1
2587,delivered want,6
2588,delivered well,1
2589,delivered which,1
2590,delivered who,1
2591,delivered whom,1
2592,delivered with,1
2593,delivered within,1
2594,delivered without,2
2595,delivered worth,1
2596,delivered would,1
2597,delivered wrong,3
2598,delivered yesterday,1
2599,delivered yet,2
2600,delivered you,1
2601,deliveri received,1
2602,deliveri usually,1
2603,deliveri when,1
2604,delivering anoth,1
2605,delivering formulat,1
2606,delivering he,1
2607,delivering my,1
2608,delivering on,1
2609,delivering product,1
2610,delivering the,1
2611,delivery addres,2
2612,delivery appe,1
2613,delivery attempt,2
2614,delivery be,2
2615,delivery by,1
2616,delivery called,1
2617,delivery com,1
2618,delivery dat,3
2619,delivery day,1
2620,delivery delay,2
2621,delivery don,1
2622,delivery eight,2
2623,delivery estimation,1
2624,delivery even,2
2625,delivery expensiv,1
2626,delivery far,1
2627,delivery forecast,9
2628,delivery four,1
2629,delivery gav,1
2630,delivery gl,1
2631,delivery hav,1
2632,delivery howev,1
2633,delivery imagined,1
2634,delivery in,1
2635,delivery incomplet,1
2636,delivery is,1
2637,delivery it,1
2638,delivery jun,1
2639,delivery low,1
2640,delivery mad,2
2641,delivery mail,1
2642,delivery man,1
2643,delivery nev,1
2644,delivery next,1
2645,delivery no,3
2646,delivery not,6
2647,delivery nothing,1
2648,delivery outsid,1
2649,delivery packag,1
2650,delivery part,1
2651,delivery partially,1
2652,delivery period,1
2653,delivery probl,1
2654,delivery product,4
2655,delivery quick,1
2656,delivery rat,1
2657,delivery received,1
2658,delivery requested,1
2659,delivery satisfaction,1
2660,delivery say,1
2661,delivery sent,1
2662,delivery serv,1
2663,delivery sham,1
2664,delivery soon,1
2665,delivery sp,1
2666,delivery thank,1
2667,delivery the,21
2668,delivery they,1
2669,delivery thil,1
2670,delivery thre,1
2671,delivery tim,26
2672,delivery took,1
2673,delivery tor,1
2674,delivery until,1
2675,delivery wa,1
2676,delivery waiting,2
2677,delivery want,2
2678,delivery went,1
2679,delivery within,1
2680,delivery would,2
2681,delivery yet,1
2682,demand immediat,1
2683,demand money,1
2684,demand reimbursement,1
2685,demand respect,1
2686,demand urgent,1
2687,demonstrat the,2
2688,demonstrated the,1
2689,denied no,1
2690,depend agility,1
2691,depend thil,1
2692,depending how,1
2693,der withdrawn,1
2694,derm the,1
2695,des exchang,1
2696,descent the,1
2697,describ found,1
2698,described already,1
2699,described black,1
2700,described one,1
2701,described product,2
2702,described the,2
2703,described voic,1
2704,described with,1
2705,describing delivered,1
2706,description any,1
2707,description completely,1
2708,description is,1
2709,description it,2
2710,description not,2
2711,description product,3
2712,description request,1
2713,description said,1
2714,description say,1
2715,description the,3
2716,descriptiv product,1
2717,design one,1
2718,designat imag,1
2719,desired col,1
2720,desired still,1
2721,desk cha,1
2722,desk creep,1
2723,deskjet one,1
2724,deskjet two,2
2725,desktop voic,1
2726,desolat lousy,1
2727,despit delivered,1
2728,despit delivering,1
2729,despit delivery,1
2730,despit disappointed,1
2731,despit indicated,1
2732,despit presenting,1
2733,despit saying,1
2734,despit taking,1
2735,despit the,1
2736,detail glas,1
2737,detail still,1
2738,detail the,2
2739,detalh had,1
2740,detected one,1
2741,detected trying,1
2742,devic conclusion,1
2743,devic it,1
2744,devic not,2
2745,di for,2
2746,dial cam,1
2747,diamet even,1
2748,did accept,3
2749,did advertising,1
2750,did answ,3
2751,did arriv,8
2752,did bought,1
2753,did cancel,1
2754,did com,9
2755,did complaint,1
2756,did contact,1
2757,did deliv,4
2758,did do,1
2759,did even,4
2760,did every,1
2761,did expect,1
2762,did find,1
2763,did fit,1
2764,did fulfill,1
2765,did get,22
2766,did giv,4
2767,did hav,8
2768,did inform,1
2769,did know,1
2770,did lik,14
2771,did meet,1
2772,did need,1
2773,did not,17
2774,did observ,1
2775,did pay,1
2776,did play,1
2777,did print,1
2778,did purchas,1
2779,did put,1
2780,did receiv,132
2781,did return,1
2782,did revers,2
2783,did run,1
2784,did send,1
2785,did solv,1
2786,did td,1
2787,did understand,1
2788,did work,3
2789,diff that,1
2790,diff the,1
2791,differenc almost,1
2792,differenc the,1
2793,different advertised,1
2794,different advertisement,1
2795,different advertising,1
2796,different announcing,1
2797,different brand,1
2798,different clock,1
2799,different col,2
2800,different dead,1
2801,different degre,1
2802,different did,1
2803,different had,1
2804,different hated,1
2805,different height,1
2806,different high,1
2807,different is,1
2808,different low,1
2809,different mater,1
2810,different model,3
2811,different my,1
2812,different one,3
2813,different phot,3
2814,different post,1
2815,different product,19
2816,different received,2
2817,different return,1
2818,different should,1
2819,different siz,2
2820,different st,1
2821,different td,1
2822,different the,16
2823,different voic,1
2824,different what,6
2825,different without,1
2826,difficult communication,1
2827,difficult evaluat,1
2828,difficult put,1
2829,difficult the,1
2830,difficult to,1
2831,difficulti the,1
2832,difficulty delivery,2
2833,difficulty return,1
2834,digit attendant,1
2835,digit bas,1
2836,digit casin,1
2837,digit digit,1
2838,digit fashion,1
2839,digit passport,1
2840,digit work,1
2841,dimensiom the,1
2842,dimension bought,1
2843,dir wanted,1
2844,direct communication,1
2845,direct link,1
2846,directly with,1
2847,dirt left,1
2848,dirty box,1
2849,dirty do,1
2850,dirty scratched,1
2851,dirty to,1
2852,dirty without,1
2853,dirty yellowish,1
2854,disagreement waiting,1
2855,disappointed aff,1
2856,disappointed bought,1
2857,disappointed canist,3
2858,disappointed do,2
2859,disappointed internet,1
2860,disappointed need,1
2861,disappointed nev,1
2862,disappointed not,3
2863,disappointed one,1
2864,disappointed ordered,1
2865,disappointed paid,1
2866,disappointed product,1
2867,disappointed stark,1
2868,disappointed stopped,1
2869,disappointed the,3
2870,disappointed websit,1
2871,disappointed whenev,1
2872,disappointment almost,1
2873,disappointment already,1
2874,disappointment not,1
2875,disappointment of,1
2876,disappointment pleas,1
2877,disappointment product,1
2878,disappointment sent,1
2879,disappointment siz,1
2880,disappointment the,2
2881,discontent believ,1
2882,discontinued thil,1
2883,discount the,1
2884,discounted valu,2
2885,discounting my,1
2886,discovered it,1
2887,discovered not,1
2888,discovered returning,1
2889,discovered the,1
2890,discretion bad,1
2891,discriminated in,1
2892,disguis totally,1
2893,disgusted due,1
2894,dishwashing can,1
2895,dismissed unranked,1
2896,disord bought,1
2897,disord cancellation,1
2898,disord canist,1
2899,disord wait,1
2900,dispatch check,1
2901,dispatched received,1
2902,dispatched yet,1
2903,disproportionat po,1
2904,disregard the,3
2905,dissatisfaction with,1
2906,dissatisfied delivery,1
2907,dissatisfied first,1
2908,dissatisfied irritated,1
2909,dissatisfied not,1
2910,dissatisfied the,6
2911,dissatisfied thil,1
2912,dissatisfied want,2
2913,dissatisfied would,1
2914,distanc fifty,1
2915,distant agency,1
2916,distinct skirt,1
2917,distribution cent,1
2918,distribution now,1
2919,distribution to,1
2920,disturbing thing,1
2921,divergenc delivery,1
2922,divergenc request,1
2923,divergent product,3
2924,divergent the,1
2925,diverging relation,2
2926,divers merchandis,1
2927,diverted should,1
2928,diverted the,1
2929,divided two,1
2930,do anything,2
2931,do blam,1
2932,do buy,8
2933,do capsul,1
2934,do chang,1
2935,do deliv,4
2936,do description,1
2937,do do,3
2938,do even,1
2939,do fuzzy,1
2940,do get,4
2941,do giv,1
2942,do hav,4
2943,do indicat,1
2944,do just,1
2945,do know,10
2946,do meet,1
2947,do not,21
2948,do phot,1
2949,do product,1
2950,do receiv,1
2951,do recommend,25
2952,do respond,1
2953,do return,1
2954,do sell,1
2955,do solv,1
2956,do the,3
2957,do they,1
2958,do to,1
2959,do typ,1
2960,do understand,2
2961,do usually,1
2962,do want,1
2963,do what,1
2964,do which,1
2965,doe accept,1
2966,doe answ,2
2967,doe appe,1
2968,doe arriv,1
2969,doe com,2
2970,doe deliv,1
2971,doe fit,2
2972,doe hav,4
2973,doe look,1
2974,doe matt,1
2975,doe meet,1
2976,doe not,7
2977,doe off,1
2978,doe product,1
2979,doe provid,1
2980,doe read,1
2981,doe respond,1
2982,doe sam,1
2983,doe sell,1
2984,doe serv,1
2985,doe support,1
2986,doe understand,1
2987,doe work,4
2988,dog carpet,1
2989,dog larg,1
2990,dog placed,1
2991,doing search,1
2992,doll are,1
2993,doll do,1
2994,doll lol,1
2995,doll not,1
2996,doll seri,1
2997,doll we,1
2998,don almost,1
2999,don and,1
3000,don canist,1
3001,don correctly,1
3002,don dash,1
3003,don hom,1
3004,don internet,1
3005,don need,1
3006,don pleas,1
3007,don the,1
3008,don thil,1
3009,don today,1
3010,doorway committed,1
3011,doubl freight,1
3012,doubl hd,1
3013,doubl something,1
3014,doubl tel,1
3015,doubl they,1
3016,doubt is,1
3017,doubt it,1
3018,doubt not,1
3019,doubt the,1
3020,doubt tim,1
3021,downloaded applicatiom,1
3022,draft mod,1
3023,drainag platform,1
3024,draw attention,1
3025,draw wa,1
3026,drawing curtain,1
3027,drawing different,1
3028,drawing product,1
3029,driv day,1
3030,driv far,1
3031,driv it,1
3032,driv ll,1
3033,driv not,1
3034,driv pet,1
3035,driv strik,2
3036,driv two,1
3037,driv wa,1
3038,dry samsung,1
3039,dry shampo,1
3040,dry the,1
3041,dtv eight,1
3042,dual cor,1
3043,dubi product,2
3044,due attempt,1
3045,due can,1
3046,due delivery,1
3047,due lack,1
3048,due the,6
3049,due truck,1
3050,during brand,1
3051,each th,2
3052,eight eight,3
3053,eight hour,5
3054,eight hundred,6
3055,eight million,2
3056,eight not,2
3057,eight six,2
3058,eight so,2
3059,eight still,3
3060,eight thousand,3
3061,eight twenty,6
3062,eight two,7
3063,eighteen delivery,3
3064,eighteen did,3
3065,eighteen far,2
3066,eighteen hav,2
3067,eighteen so,7
3068,eighteen the,2
3069,eighteen today,2
3070,eighteen wa,2
3071,eighty one,2
3072,els the,2
3073,email asking,3
3074,email informing,2
3075,email phon,2
3076,email said,2
3077,email saying,2
3078,email the,4
3079,email they,2
3080,end the,2
3081,ended getting,2
3082,equal not,2
3083,equal splendid,2
3084,equal the,3
3085,err the,2
3086,estimated tim,2
3087,ev don,2
3088,evaluat not,5
3089,evaluat product,2
3090,even he,2
3091,even it,2
3092,evening received,3
3093,everything cam,2
3094,exchang already,2
3095,exchang had,2
3096,exchang my,2
3097,exchang not,3
3098,exchang product,3
3099,exchang so,2
3100,exchang the,13
3101,exchanged product,2
3102,expected dat,4
3103,expected quality,2
3104,expecting product,2
3105,expensiv freight,6
3106,expiration dat,2
3107,extern hd,2
3108,fals product,3
3109,falsified product,2
3110,far could,3
3111,far did,7
3112,far ha,2
3113,far had,2
3114,far hav,30
3115,far not,7
3116,far nothing,21
3117,far one,7
3118,far product,3
3119,far received,2
3120,far respons,3
3121,far the,2
3122,far wa,3
3123,far waiting,2
3124,feel injured,2
3125,femal clock,2
3126,few day,3
3127,fifteen day,4
3128,fifteen fiv,2
3129,fifteen print,2
3130,fifteen two,2
3131,fifty eight,3
3132,fifty read,2
3133,fifty six,2
3134,fifty the,2
3135,fifty two,3
3136,film cam,2
3137,film not,3
3138,filt the,2
3139,first day,2
3140,first installment,5
3141,first product,2
3142,first purchas,2
3143,first tim,10
3144,fit properly,2
3145,fit the,4
3146,fiv cha,2
3147,fiv day,6
3148,fiv eighteen,2
3149,fiv eleven,2
3150,fiv hundred,8
3151,fiv product,2
3152,fiv seventeen,2
3153,fiv six,2
3154,fiv the,2
3155,fiv thousand,2
3156,fiv tim,2
3157,fiv two,2
3158,fiv unit,3
3159,fiv want,2
3160,flexibl diverted,2
3161,following request,2
3162,footag two,2
3163,forecast the,2
3164,forecast twenty,2
3165,forty eight,5
3166,forty fiv,7
3167,forty four,2
3168,forty seven,3
3169,forty two,2
3170,found product,4
3171,four day,4
3172,four four,2
3173,four hundred,6
3174,four product,2
3175,four thousand,2
3176,four twenty,5
3177,four two,7
3178,four unit,2
3179,fre market,2
3180,freight each,2
3181,freight get,2
3182,freight product,2
3183,freight receiv,3
3184,freight the,4
3185,freight to,2
3186,from anoth,2
3187,from the,3
3188,fulfill deadlin,2
3189,full product,2
3190,full request,4
3191,gam thre,2
3192,gav anoth,3
3193,gav different,2
3194,gav one,2
3195,gav only,3
3196,get answ,8
3197,get it,2
3198,get product,11
3199,get respons,5
3200,get return,8
3201,get the,5
3202,get touch,20
3203,getting product,2
3204,getting touch,3
3205,giv any,2
3206,giv back,4
3207,giv one,2
3208,giv opinion,2
3209,giv position,2
3210,giv satisfaction,2
3211,giv som,2
3212,giv the,3
3213,glas film,3
3214,go get,2
3215,go post,2
3216,go the,6
3217,go to,2
3218,good afternoon,12
3219,good bought,2
3220,good evening,8
3221,good morning,16
3222,good night,2
3223,good quality,4
3224,good the,2
3225,got anoth,2
3226,got different,3
3227,got touch,9
3228,gray received,2
3229,grind sent,2
3230,guarante the,2
3231,guidanc the,4
3232,ha already,7
3233,ha arrived,3
3234,ha com,2
3235,ha delivered,3
3236,ha nothing,2
3237,ha passed,3
3238,ha yet,9
3239,had already,4
3240,had answ,4
3241,had bought,3
3242,had canceled,2
3243,had delivered,2
3244,had get,3
3245,had go,4
3246,had probl,4
3247,had remov,2
3248,had return,5
3249,handling the,2
3250,happened the,2
3251,hated purchas,2
3252,hav already,16
3253,hav com,2
3254,hav delivered,2
3255,hav go,2
3256,hav had,2
3257,hav hyperop,2
3258,hav nev,2
3259,hav new,2
3260,hav not,5
3261,hav obtained,2
3262,hav probl,2
3263,hav product,2
3264,hav received,53
3265,hav return,4
3266,hav stock,4
3267,hav the,5
3268,hav to,2
3269,hav voic,2
3270,hav yet,3
3271,he not,2
3272,he said,2
3273,hell good,4
3274,hom that,2
3275,hop receiv,6
3276,hop return,2
3277,hop solv,2
3278,hop they,2
3279,horribl product,2
3280,howev the,3
3281,howev wa,2
3282,hp deskjet,2
3283,hundred eighty,7
3284,hundred fifty,12
3285,hundred fiv,2
3286,hundred forty,11
3287,hundred four,2
3288,hundred million,2
3289,hundred ml,2
3290,hundred ninety,5
3291,hundred one,3
3292,hundred seven,2
3293,hundred seventy,8
3294,hundred sixty,16
3295,hundred ten,3
3296,hundred thirty,4
3297,hundred twenty,17
3298,hundred zer,3
3299,hyperop need,2
3300,hyperop negativ,2
3301,if it,2
3302,if the,2
3303,imag the,4
3304,immediat solution,2
3305,improv lot,2
3306,in advertisement,4
3307,in delivery,2
3308,in description,2
3309,in packag,2
3310,in post,2
3311,in stock,3
3312,in the,12
3313,in touch,2
3314,in wrong,2
3315,incomplet missing,2
3316,incomplet product,3
3317,indicat anyon,2
3318,indicated it,2
3319,indicated the,2
3320,inform that,3
3321,information the,6
3322,informed the,5
3323,ink cartridg,2
3324,insid the,3
3325,installment the,2
3326,instead the,2
3327,instruction man,2
3328,insuranc mer,2
3329,is actually,2
3330,is already,5
3331,is defectiv,3
3332,is delivered,2
3333,is disregard,2
3334,is happening,4
3335,is low,2
3336,is missing,2
3337,is not,4
3338,is nothing,2
3339,is one,3
3340,is open,2
3341,is product,3
3342,is still,2
3343,is the,7
3344,is unfortunat,2
3345,is worth,2
3346,issued the,2
3347,it already,4
3348,it an,2
3349,it appe,2
3350,it been,4
3351,it bought,5
3352,it cam,13
3353,it delivered,8
3354,it fak,2
3355,it in,2
3356,it is,3
3357,it it,2
3358,it lack,2
3359,it my,2
3360,it not,31
3361,it purchased,2
3362,it reached,2
3363,it repl,2
3364,it say,2
3365,it se,2
3366,it send,2
3367,it the,7
3368,it ther,2
3369,it they,2
3370,it took,3
3371,it two,2
3372,it wa,4
3373,it want,2
3374,it wer,2
3375,it would,3
3376,ivory organiz,2
3377,jess quality,2
3378,jess shop,2
3379,just got,2
3380,just not,2
3381,just one,2
3382,just received,4
3383,just think,3
3384,just want,2
3385,kind probl,2
3386,kit cam,2
3387,kit only,4
3388,kit ten,2
3389,kit the,2
3390,kit thre,2
3391,kit two,2
3392,kit wa,2
3393,know happened,4
3394,know it,4
3395,know my,6
3396,know not,2
3397,know receiv,3
3398,know the,6
3399,know they,4
3400,know to,6
3401,know tru,2
3402,know wa,3
3403,know will,6
3404,know would,2
3405,know you,3
3406,lack commitment,2
3407,lack professionalism,2
3408,lack respect,14
3409,lack the,2
3410,last month,2
3411,last purchas,2
3412,last tim,3
3413,lat delivery,2
3414,lem box,3
3415,len ol,2
3416,lens delivered,2
3417,lens negativ,2
3418,lens positiv,2
3419,lid cam,2
3420,lik camel,2
3421,lik check,2
3422,lik it,2
3423,lik know,17
3424,lik phot,2
3425,lik product,6
3426,lik return,5
3427,lik the,2
3428,lik wa,2
3429,lik want,2
3430,long get,2
3431,long the,2
3432,long tim,8
3433,long worked,2
3434,look lik,7
3435,looked lik,2
3436,lot headach,2
3437,low expected,2
3438,low product,2
3439,low quality,9
3440,low the,2
3441,luminari only,3
3442,mad an,2
3443,mad cancellation,3
3444,mad complaint,4
3445,mad new,2
3446,mad ord,2
3447,mad payment,4
3448,mad product,2
3449,mad purchas,30
3450,mad request,10
3451,mad return,2
3452,mad the,11
3453,mad two,2
3454,mail is,2
3455,mail making,2
3456,mail my,2
3457,mail no,4
3458,mail not,2
3459,mail say,2
3460,mail the,4
3461,mail they,2
3462,main not,2
3463,mak complaint,2
3464,mak exchang,13
3465,mak product,2
3466,mak purchas,2
3467,mak revers,2
3468,mak the,10
3469,making contact,2
3470,many ye,2
3471,marathon and,2
3472,marin mattres,2
3473,mark not,2
3474,match the,3
3475,mattres cov,4
3476,maximum delivery,3
3477,me diverging,2
3478,me wa,2
3479,meet deadlin,2
3480,meet the,2
3481,memory card,3
3482,mer mistak,2
3483,merchandis not,4
3484,merchandis the,2
3485,micr sd,4
3486,million eight,3
3487,million four,3
3488,million one,2
3489,million six,2
3490,million two,4
3491,misleading advertisement,3
3492,misleading propagand,6
3493,missed one,2
3494,missed piec,2
3495,missed the,2
3496,missing one,6
3497,missing part,4
3498,missing piec,4
3499,missing product,4
3500,missing the,3
3501,missing two,3
3502,missing unit,2
3503,mistak sent,2
3504,mod use,2
3505,model bought,2
3506,model product,2
3507,moment did,3
3508,money back,33
3509,money not,4
3510,month ago,4
3511,month almost,2
3512,month mad,2
3513,month not,3
3514,month so,2
3515,month until,2
3516,month waiting,2
3517,mor month,3
3518,mor thil,2
3519,mor thirty,2
3520,morning bought,3
3521,morning would,2
3522,mosquit net,3
3523,mous serv,2
3524,much delay,4
3525,much les,2
3526,much low,2
3527,much thinn,2
3528,my addres,3
3529,my card,4
3530,my city,4
3531,my complaint,2
3532,my credit,4
3533,my hous,9
3534,my hp,2
3535,my machin,2
3536,my money,10
3537,my ord,2
3538,my product,10
3539,my purchas,3
3540,my request,9
3541,my residenc,8
3542,my son,2
3543,my surpris,3
3544,my work,1
3545,nam anoth,3
3546,nam the,2
3547,nativ respons,2
3548,need be,3
3549,need cancel,2
3550,need improv,3
3551,need know,2
3552,need mak,3
3553,need position,3
3554,need positiv,2
3555,need the,4
3556,need urgent,2
3557,negativ lens,2
3558,negativ utop,2
3559,neglect the,2
3560,neith not,2
3561,neith satisfaction,2
3562,nev arrived,2
3563,nev buy,6
3564,nev happened,2
3565,nev probl,2
3566,nev received,2
3567,nev thil,3
3568,new cam,2
3569,next day,3
3570,nin day,3
3571,nin eight,2
3572,nin eighteen,2
3573,nin hundred,10
3574,nin million,2
3575,nin six,3
3576,nin thousand,4
3577,ninety nin,4
3578,ninety today,2
3579,no answ,3
3580,no long,3
3581,no one,14
3582,no option,2
3583,no quality,2
3584,no respons,3
3585,no return,3
3586,no tim,2
3587,no way,3
3588,non delivery,3
3589,non orig,2
3590,not answ,6
3591,not any,2
3592,not arriv,16
3593,not arrived,25
3594,not ask,3
3595,not be,2
3596,not bought,2
3597,not buy,13
3598,not cam,4
3599,not cancel,2
3600,not chang,2
3601,not charg,2
3602,not com,30
3603,not conf,4
3604,not contact,7
3605,not correspond,7
3606,not deliv,24
3607,not delivered,44
3608,not do,3
3609,not ent,3
3610,not evaluat,3
3611,not even,5
3612,not fit,5
3613,not fulfill,4
3614,not fulfilled,3
3615,not get,18
3616,not giv,13
3617,not giving,5
3618,not go,2
3619,not good,5
3620,not happen,2
3621,not hav,2
3622,not in,3
3623,not indicat,4
3624,not inform,2
3625,not issued,4
3626,not know,11
3627,not lik,7
3628,not mak,3
3629,not match,5
3630,not meet,3
3631,not orig,8
3632,not pay,2
3633,not possibl,3
3634,not product,6
3635,not receiv,35
3636,not received,23
3637,not receiving,3
3638,not recognized,2
3639,not recommend,14
3640,not reimbursed,2
3641,not respond,8
3642,not return,7
3643,not right,2
3644,not sam,5
3645,not say,2
3646,not sell,2
3647,not send,6
3648,not sent,3
3649,not speak,3
3650,not suitabl,2
3651,not tak,5
3652,not talk,3
3653,not the,16
3654,not they,2
3655,not to,2
3656,not two,4
3657,not updat,2
3658,not use,3
3659,not waiting,2
3660,not want,8
3661,not watched,2
3662,not work,31
3663,not working,6
3664,not worth,7
3665,not yet,39
3666,nothing com,2
3667,nothing did,2
3668,nothing do,9
3669,nothing don,3
3670,nothing els,2
3671,nothing my,3
3672,nothing the,6
3673,now did,2
3674,now nothing,2
3675,numbering the,2
3676,obtained return,3
3677,of po,2
3678,of the,6
3679,of thil,2
3680,offered the,4
3681,offic not,3
3682,offic now,1
3683,offic received,1
3684,offic remov,1
3685,offic reported,1
3686,offic returned,1
3687,offic say,1
3688,offic see,1
3689,offic st,1
3690,offic suppli,1
3691,offic tak,1
3692,offic talk,1
3693,offic the,1
3694,offic they,2
3695,offic turn,1
3696,offic until,1
3697,offic who,1
3698,offic would,1
3699,oil dial,1
3700,ok perfum,1
3701,ol bett,1
3702,ol king,1
3703,old addres,1
3704,old baby,1
3705,old child,1
3706,old good,1
3707,old iron,1
3708,old model,1
3709,old outdated,1
3710,old product,2
3711,old saying,1
3712,old tap,1
3713,old too,1
3714,oliv vitr,1
3715,ombudsman complaint,1
3716,ombudsman not,1
3717,ombudsman phon,1
3718,omission sham,1
3719,omit want,1
3720,on american,1
3721,on calling,1
3722,on canist,1
3723,on card,1
3724,on freight,1
3725,on seventeen,1
3726,on sit,2
3727,on the,3
3728,on tim,3
3729,on trusted,1
3730,on way,1
3731,onc had,1
3732,one abid,1
3733,one acquired,1
3734,one aft,1
3735,one already,4
3736,one ancient,1
3737,one and,1
3738,one answ,7
3739,one answered,3
3740,one appe,1
3741,one armcha,1
3742,one arrived,4
3743,one aspect,1
3744,one await,1
3745,one bag,2
3746,one battery,1
3747,one black,1
3748,one book,2
3749,one bottl,2
3750,one box,2
3751,one broken,1
3752,one bsp,2
3753,one calling,1
3754,one cam,2
3755,one can,1
3756,one cartridg,1
3757,one cas,1
3758,one cepthirty,1
3759,one cha,2
3760,one chandeli,1
3761,one cod,1
3762,one col,1
3763,one com,1
3764,one communicat,1
3765,one consid,1
3766,one contacted,3
3767,one coupled,1
3768,one cracked,1
3769,one cup,2
3770,one curtain,1
3771,one day,5
3772,one defectiv,1
3773,one delivered,4
3774,one detail,1
3775,one do,2
3776,one eight,1
3777,one eighteen,1
3778,one extern,1
3779,one far,2
3780,one fifty,2
3781,one fiftyxtw,1
3782,one filt,2
3783,one fiv,2
3784,one forty,1
3785,one four,3
3786,one gav,1
3787,one giv,2
3788,one got,2
3789,one ha,1
3790,one hav,1
3791,one hop,1
3792,one hundred,39
3793,one installment,1
3794,one issued,1
3795,one it,6
3796,one kg,1
3797,one lem,1
3798,one luminari,1
3799,one mad,1
3800,one mail,1
3801,one manifested,1
3802,one merchandis,1
3803,one met,1
3804,one metallic,1
3805,one million,1
