,phrases,frequency,English
1609,read,18,
1610,readi,4,
1611,real,1,
1612,realiti,2,
1613,realiz,8,
1614,realli,9,
1615,rear,1,
1616,reason,11,
1617,rec,1,
1618,receipt,9,
1619,receiv,627,
1620,recent,2,
1621,recharg,1,
1622,reciev,1,
1623,recipi,3,
1624,recit,1,
1625,reclaim,1,
1626,recogn,3,
1627,recommend,58,
1628,reconstruct,1,
1629,record,1,
1630,recov,1,
1631,rectangular,1,
1632,rectronum,1,
1633,red,4,
1634,redirect,1,
1635,reduc,2,
1636,reduct,1,
1637,ref,2,
1638,refer,6,
1639,referr,1,
1640,refund,8,
1641,refus,5,
1642,regard,3,
1643,region,3,
1644,regist,4,
1645,regret,3,
1646,regular,2,
1647,reimburs,20,
1648,reinifer,1,
1649,reject,1,
1650,relat,6,
1651,releas,8,
1652,reli,1,
1653,reliabl,2,
1654,remain,2,
1655,remaind,1,
1656,remedi,4,
1657,rememb,3,
1658,remind,1,
1659,remov,8,
1660,renegad,2,
1661,repaid,1,
1662,repay,4,
1663,repeat,2,
1664,repent,4,
1665,replac,4,
1666,replenish,1,
1667,replica,12,
1668,report,10,
1669,repres,1,
1670,reproduct,1,
1671,republish,1,
1672,reput,1,
1673,request,209,
1674,research,1,
1675,resent,2,
1676,resid,12,
1677,resolv,5,
1678,resort,2,
1679,respect,18,
1680,respond,16,
1681,respons,38,
1682,rest,6,
1683,restitut,1,
1684,restor,1,
1685,result,4,
1686,ret,2,
1687,return,201,
1688,reveal,1,
1689,revenu,2,
1690,revers,21,
1691,review,1,
1692,revolt,1,
1693,revolut,1,
1694,rhineston,1,
1695,ride,1,
1696,ridicul,4,
1697,right,20,
1698,rio,1,
1699,rip,2,
1700,risk,4,
1701,rival,1,
1702,rj,1,
1703,rm,1,
1704,rod,1,
1705,role,1,
1706,roll,6,
1707,roller,2,
1708,roman,1,
1709,room,3,
1710,rope,1,
1711,rose,3,
1712,rough,2,
1713,round,3,
1714,rout,1,
1715,royalti,1,
1716,rua,1,
1717,rubber,2,
1718,rug,4,
1719,ruin,2,
1720,rule,1,
1721,ruler,1,
1722,run,7,
1723,rush,1,
1724,rusti,1,
1725,sabatini,1,
1726,sac,7,
1727,sad,4,
1728,safari,1,
1729,safe,1,
1730,safeti,1,
1731,said,27,
1732,sale,13,
1733,salvador,1,
1734,same,30,
1735,sampl,1,
1736,samsung,5,
1737,sand,2,
1738,sanitari,1,
1739,sao,1,
1740,satisfact,20,
1741,satisfactori,2,
1742,satisfi,8,
1743,saturday,2,
1744,save,1,
1745,saw,4,
1746,say,40,
1747,scale,6,
1748,scandal,1,
1749,scanner,1,
1750,scare,1,
1751,scatter,1,
1752,scent,1,
1753,schedul,2,
1754,scholarship,1,
1755,scratch,7,
1756,screen,11,
1757,screw,6,
1758,sd,5,
1759,sdclassetencom,1,
1760,se,1,
1761,seal,15,
1762,seam,3,
1763,search,4,
1764,season,1,
1765,seat,4,
1766,second,19,
1767,secur,1,
1768,sede,3,
1769,seduct,1,
1770,see,13,
1771,seek,1,
1772,seem,14,
1773,seen,3,
1774,select,1,
1775,selfi,1,
1776,sell,17,
1777,seller,29,
1778,semi,1,
1779,send,59,
1780,sender,1,
1781,sensor,2,
1782,sent,122,
1783,separ,7,
1784,seri,2,
1785,seriou,2,
1786,serv,8,
1787,servant,1,
1788,servic,14,
1789,set,7,
1790,settl,1,
1791,setup,1,
1792,seven,49,
1793,seventeen,5,
1794,seventeenth,1,
1795,seventi,13,
1796,sever,11,
1797,sew,2,
1798,shaken,1,
1799,shall,2,
1800,shame,8,
1801,shampoo,1,
1802,shape,2,
1803,sharp,1,
1804,sharpen,1,
1805,shave,1,
1806,she,2,
1807,sheet,9,
1808,shelv,1,
1809,shift,1,
1810,ship,8,
1811,shipment,1,
1812,shirt,2,
1813,shoe,2,
1814,shop,7,
1815,short,3,
1816,shortli,1,
1817,should,19,
1818,show,5,
1819,shower,7,
1820,shown,4,
1821,showtim,1,
1822,shred,1,
1823,side,4,
1824,sight,1,
1825,sign,4,
1826,signal,2,
1827,silenc,1,
1828,silk,1,
1829,silva,1,
1830,silver,4,
1831,similar,4,
1832,simpar,2,
1833,simpl,8,
1834,simpli,14,
1835,simul,1,
1836,sinc,18,
1837,singl,8,
1838,siren,1,
1839,sistema,1,
1840,sister,1,
1841,sit,1,
1842,site,79,
1843,situat,11,
1844,six,68,
1845,sixteen,6,
1846,sixteenth,1,
1847,sixti,24,
1848,size,21,
1849,skate,2,
1850,skirt,3,
1851,sleep,2,
1852,slice,1,
1853,slight,1,
1854,slim,2,
1855,slip,1,
1856,slope,1,
1857,slow,1,
1858,small,17,
1859,smaller,6,
1860,smart,4,
1861,smartphon,1,
1862,smell,5,
1863,snake,1,
1864,so,66,
1865,soccer,1,
1866,social,1,
1867,socket,1,
1868,sofa,1,
1869,soft,1,
1870,sold,16,
1871,solder,1,
1872,solicit,1,
1873,solid,1,
1874,solut,17,
1875,solv,40,
1876,some,5,
1877,someon,9,
1878,someth,6,
1879,sometim,3,
1880,son,3,
1881,song,1,
1882,soni,2,
1883,soon,15,
1884,sore,1,
1885,sorri,2,
1886,sound,2,
1887,sourc,2,
1888,southern,1,
1889,sp,2,
1890,speak,11,
1891,specif,3,
1892,specifi,3,
1893,specul,1,
1894,speech,1,
1895,speed,2,
1896,spell,1,
1897,spend,3,
1898,spent,6,
1899,spi,1,
1900,spider,1,
1901,spin,1,
1902,splendid,2,
1903,spoil,4,
1904,spoke,1,
1905,spoken,2,
1906,spray,3,
1907,sr,2,
1908,ssa,1,
1909,ssd,1,
1910,stack,1,
1911,stain,4,
1912,stainless,3,
1913,stall,1,
1914,stallion,1,
1915,stamp,1,
1916,stand,1,
1917,standard,2,
1918,star,2,
1919,stark,21,
1920,start,2,
1921,state,9,
1922,statement,3,
1923,statu,5,
1924,statur,1,
1925,stay,13,
1926,steam,1,
1927,steel,2,
1928,steer,1,
1929,step,10,
1930,stereo,1,
1931,stethoscop,2,
1932,stew,1,
1933,sticker,4,
1934,still,81,
1935,stipul,5,
1936,stock,17,
1937,stolen,4,
1938,stone,1,
1939,stop,14,
1940,store,148,
1941,stori,1,
1942,straight,1,
1943,strang,2,
1944,strangl,1,
1945,strap,1,
1946,streamlin,1,
1947,street,2,
1948,stress,1,
1949,strike,8,
1950,strong,2,
1951,structur,2,
1952,stuck,1,
1953,studi,1,
1954,su,1,
1955,sub,1,
1956,subjectless,1,
1957,submit,1,
1958,sucanagem,1,
1959,succeed,1,
1960,success,2,
1961,such,5,
1962,sue,2,
1963,suit,2,
1964,suitabl,2,
1965,summar,2,
1966,sunday,1,
1967,super,9,
1968,suppli,1,
1969,supplier,9,
1970,support,11,
1971,sure,1,
1972,surnam,1,
1973,surpris,4,
1974,surrend,2,
1975,suspect,2,
1976,switch,2,
1977,sword,2,
1978,swore,1,
1979,synthet,1,
1980,system,6,
1981,tabl,6,
1982,tablecloth,1,
1983,tablet,12,
1984,tactic,1,
1985,take,31,
1986,taken,2,
1987,talk,11,
1988,tango,1,
1989,tank,2,
1990,tap,2,
1991,tape,1,
1992,targaryen,34,
1993,tast,2,
1994,tax,1,
1995,taxa,1,
1996,tb,1,
1997,tbm,1,
1998,td,2,
1999,tea,3,
2000,tear,3,
2001,technic,1,
2002,technician,1,
2003,techno,1,
2004,teeth,1,
2005,tefan,1,
2006,tel,2,
2007,telephon,2,
2008,telet,1,
2009,televis,2,
2010,tell,2,
2011,temper,1,
2012,temperatur,1,
2013,templat,3,
2014,ten,27,
2015,tend,1,
2016,term,3,
2017,terribl,18,
2018,tertiari,1,
2019,test,10,
2020,tester,3,
2021,tg,1,
2022,than,23,
2023,thank,10,
2024,that,51,
2025,the,1424,
2026,theft,1,
2027,their,3,
2028,them,9,
2029,then,8,
2030,therapist,1,
2031,there,19,
2032,thermal,7,
2033,these,3,
2034,they,63,
2035,thi,77,
2036,thick,3,
2037,thicker,1,
2038,thin,9,
2039,thing,9,
2040,think,17,
2041,thinner,2,
2042,third,6,
2043,thirteen,4,
2044,thirti,36,
2045,thirtyxthirti,1,
2046,those,2,
2047,though,1,
2048,thought,11,
2049,thousand,62,
2050,thread,2,
2051,three,99,
2052,threextwo,1,
2053,threw,1,
2054,throne,1,
2055,through,3,
2056,throughout,1,
2057,throw,1,
2058,ticket,1,
2059,time,134,
2060,tire,5,
2061,tissu,1,
2062,titan,1,
2063,to,92,
2064,toast,1,
2065,today,33,
2066,togeth,7,
2067,told,2,
2068,tommi,1,
2069,tomorrow,2,
2070,tone,1,
2071,tonight,1,
2072,too,3,
2073,took,16,
2074,tool,2,
2075,toothbrush,1,
2076,toothpick,1,
2077,top,5,
2078,tore,1,
2079,torn,2,
2080,total,51,
2081,totem,1,
2082,touch,35,
2083,touchscreen,1,
2084,toward,1,
2085,towel,3,
2086,tower,11,
2087,toy,3,
2088,trace,2,
2089,track,21,
2090,tracker,1,
2091,tractor,2,
2092,trade,2,
2093,train,2,
2094,tram,1,
2095,tran,3,
2096,transact,1,
2097,transfer,1,
2098,transpar,2,
2099,transport,4,
2100,trash,3,
2101,tre,1,
2102,treadmil,1,
2103,treat,1,
2104,treativ,1,
2105,treatment,1,
2106,tree,1,
2107,trenzinho,1,
2108,tri,52,
2109,trigger,2,
2110,troubl,6,
2111,troubleshoot,1,
2112,truck,6,
2113,true,2,
2114,trust,6,
2115,trustworthi,1,
2116,tuesday,1,
2117,turbo,3,
2118,turbopow,1,
2119,turn,8,
2120,tv,2,
2121,twelv,9,
2122,twenti,80,
2123,twice,2,
2124,two,360,
2125,twokit,1,
2126,type,5,
2127,ugli,4,
2128,un,2,
2129,unabl,1,
2130,unavail,1,
2131,unbear,1,
2132,uncomfort,1,
2133,uncommic,1,
2134,undef,1,
2135,under,1,
2136,undermin,1,
2137,understand,11,
2138,understood,2,
2139,undertak,1,
2140,undo,2,
2141,unforeseen,4,
2142,unfortun,36,
2143,uniqu,1,
2144,unit,61,
2145,unpleas,2,
2146,unrank,1,
2147,unreli,1,
2148,unstabl,1,
2149,unsuccess,3,
2150,until,30,
2151,unus,1,
2152,up,1,
2153,updat,7,
2154,upon,1,
2155,upset,11,
2156,urgenc,2,
2157,urgent,22,
2158,us,3,
2159,usb,3,
2160,use,52,
2161,useless,2,
2162,usual,3,
2163,utopia,2,
2164,vacat,1,
2165,vacuum,3,
2166,valid,2,
2167,valu,34,
2168,valv,4,
2169,vanilla,1,
2170,variat,1,
2171,variou,1,
2172,vase,1,
2173,ve,11,
2174,vehicl,5,
2175,veri,28,
2176,verifi,1,
2177,version,2,
2178,vest,1,
2179,vfd,1,
2180,via,3,
2181,vial,2,
2182,vibrant,1,
2183,vicarag,1,
2184,view,3,
2185,viniciu,1,
2186,vintag,2,
2187,violat,5,
2188,visual,2,
2189,vitamin,1,
2190,vitro,1,
2191,voic,68,
2192,voir,1,
2193,voltag,7,
2194,volum,2,
2195,vote,1,
2196,voucher,3,
2197,vz,1,
2198,wa,184,
2199,wait,114,
2200,wall,2,
2201,wallet,1,
2202,wallpap,3,
2203,want,146,
2204,warm,1,
2205,warn,13,
2206,warranti,3,
2207,washer,1,
2208,watch,26,
2209,water,5,
2210,waterproof,3,
2211,way,11,
2212,we,13,
2213,weak,8,
2214,wear,2,
2215,websit,22,
2216,week,13,
2217,weekend,1,
2218,weekli,1,
2219,weight,2,
2220,well,22,
2221,went,22,
2222,were,13,
2223,western,1,
2224,what,34,
2225,whatev,1,
2226,wheel,1,
2227,when,23,
2228,whenev,1,
2229,where,4,
2230,whereabout,1,
2231,whi,2,
2232,which,6,
2233,whip,1,
2234,white,14,
2235,who,4,
2236,whoever,1,
2237,whole,9,
2238,whom,1,
2239,whose,1,
2240,wide,2,
2241,wife,1,
2242,will,54,
2243,win,5,
2244,window,1,
2245,wine,1,
2246,wipe,1,
2247,wireless,5,
2248,wish,4,
2249,with,29,
2250,withdraw,3,
2251,withdrawn,3,
2252,within,14,
2253,without,75,
2254,wive,2,
2255,wonder,4,
2256,wood,1,
2257,work,73,
2258,workout,1,
2259,worri,3,
2260,wors,4,
2261,worst,5,
2262,worth,13,
2263,worthi,1,
2264,would,92,
2265,wrap,3,
2266,write,4,
2267,writer,1,
2268,written,3,
2269,wrong,85,
2270,xc,2,
2271,xl,3,
2272,xperia,2,
2273,yarn,1,
2274,ye,7,
2275,year,9,
2276,yellow,1,
2277,yellowish,1,
2278,yesterday,7,
2279,yet,112,
2280,yield,1,
2281,yoga,1,
2282,you,54,
2283,your,6,
2284,zap,1,
2285,zenfon,2,
2286,zero,21,
2287,zip,1,
